customer_id,customer_name,gender,age,city,state,signup_date
10001,Meera Malhotra,Male,21,Pune,Maharashtra,2024-12-08
10002,Vivaan Verma,Male,45,Dehradun,Uttarakhand,2025-02-03
10003,Kavya Arora,Male,54,Surat,Gujarat,2025-03-29
10004,Rohan Kapoor,Female,30,Lucknow,Uttar Pradesh,2025-11-29
10005,Ankit Arora,Female,20,Ahmedabad,Gujarat,2024-05-22
10006,Ankit Kapoor,Female,54,Pune,Maharashtra,2025-01-31
10007,Karan Reddy,Male,36,Coimbatore,Tamil Nadu,2025-06-19
10008,Aarav Malhotra,Female,45,Lucknow,Uttar Pradesh,2024-05-20
10009,Aisha Iyer,Female,36,Lucknow,Uttar Pradesh,2024-08-27
10010,Rahul Kumar,Male,34,Hyderabad,Telangana,2024-10-18
10011,Ankit Malhotra,Male,35,Ahmedabad,Gujarat,2024-03-22
10012,Isha Nair,Female,35,Bengaluru,Karnataka,2025-07-13
10013,Kabir Kumar,Male,40,Mumbai,Maharashtra,2024-06-19
10014,Meera Nair,Male,57,Kochi,Kerala,2025-08-02
10015,Aisha Das,Male,26,Kolkata,West Bengal,2025-06-09
10016,Kavya Sharma,Male,46,Mumbai,Maharashtra,2025-06-25
10017,Riya Patel,Male,59,Delhi,Delhi,2024-04-19
10018,Priya Kapoor,Male,46,Kochi,Kerala,2024-07-30
10019,Rahul Nair,Female,19,Kochi,Kerala,2025-03-13
10020,Meera Kumar,Male,34,Patna,Bihar,2024-11-17
10021,Vivaan Bansal,Female,48,Chandigarh,Chandigarh,2025-12-14
10022,Vivaan Nair,Male,45,Nagpur,Maharashtra,2024-03-24
10023,Ananya Shah,Female,60,Surat,Gujarat,2025-01-10
10024,Karan Patel,Female,56,Surat,Gujarat,2024-02-22
10025,Rahul Agarwal,Female,47,Coimbatore,Tamil Nadu,2025-05-10
10026,Ananya Gupta,Female,52,Kochi,Kerala,2024-09-12
10027,Rahul Shah,Female,37,Dehradun,Uttarakhand,2025-08-08
10028,Ankit Kapoor,Female,33,Bengaluru,Karnataka,2024-08-07
10029,Vivaan Sharma,Male,51,Chennai,Tamil Nadu,2025-10-16
10030,Meera Shah,Male,31,Coimbatore,Tamil Nadu,2024-04-09
10031,Kavya Agarwal,Female,43,Pune,Maharashtra,2024-05-08
10032,Ishaan Chopra,Male,37,Jaipur,Rajasthan,2024-08-06
10033,Vivaan Sethi,Female,59,Pune,Maharashtra,2025-04-21
10034,Aarav Joshi,Female,41,Bhubaneswar,Odisha,2025-04-02
10035,Sneha Agarwal,Male,60,Hyderabad,Telangana,2024-01-22
10036,Arjun Kumar,Female,35,Bhopal,Madhya Pradesh,2025-11-20
10037,Vivaan Mehta,Male,60,Bhubaneswar,Odisha,2025-07-13
